Rostlina: ,Jistota odhadu:
sage,1.0
sage,0.9988
nettle,0.8319
nettle,0.8782
------------------------------------
Rostlina:,Celkovy pocet:
Kopriva:,0
Salvej:,0
Prumerna jistota:,0.927
